script,overlay_text,visual_asset,audio_asset
"Sunday reset—my routine for a new week. #SelfCareSunday","Reset for the week!","https://yourdomain.com/assets/chieftoken-reset.png","./scripts/voiceovers/voiceover1.mp3"
"Shoutout to a creator who inspires me—go follow them! #Community","Community love!","https://yourdomain.com/assets/chieftoken-community.png","./scripts/voiceovers/voiceover2.mp3"
"My favorite spiritual practice—try it and let me know how it goes. #SpiritualJourney","Spiritual journey!","https://yourdomain.com/assets/chieftoken-spiritual.png","./scripts/voiceovers/voiceover3.mp3"
"Before/after transformation—proof that change is possible. #TransformationTuesday","Transformation!","https://yourdomain.com/assets/chieftoken-transformation.png","./scripts/voiceovers/voiceover4.mp3"
"Workout challenge! Tag me if you try it. #ChallengeAccepted","Challenge accepted!","https://yourdomain.com/assets/chieftoken-challenge.png","./scripts/voiceovers/voiceover5.mp3"
"Throwback to my oldest tattoo—would I do it again? #TattooFlashback","Tattoo flashback!","https://yourdomain.com/assets/chieftoken-tattoo.png","./scripts/voiceovers/voiceover6.mp3"
"Thank you for supporting my journey! DM me if you want more. #Gratitude","Thank you!","https://yourdomain.com/assets/chieftoken-thanks.png","./scripts/voiceovers/voiceover7.mp3"
"Sharing my playlist for workouts/meditation. What’s on yours? #MusicMotivation","Music motivation!","https://yourdomain.com/assets/chieftoken-music.png","./scripts/voiceovers/voiceover8.mp3"
"Teaser for exclusive content—want the full thing? Link in bio. #Exclusive","Exclusive drop!","https://yourdomain.com/assets/chieftoken-exclusive.png","./scripts/voiceovers/voiceover9.mp3"
"Follower transformation feature—so proud of this community! #CommunitySpotlight","Community spotlight!","https://yourdomain.com/assets/chieftoken-spotlight.png","./scripts/voiceovers/voiceover10.mp3"
"Going live for Q&A—set your reminders! #LiveSession","Live Q&A!","https://yourdomain.com/assets/chieftoken-live.png","./scripts/voiceovers/voiceover11.mp3"
"Myth vs fact: fitness, tattoos, or spirituality—what do you believe? #MythBusting","Myth busting!","https://yourdomain.com/assets/chieftoken-myth.png","./scripts/voiceovers/voiceover12.mp3"
"Motivation for your feed—let’s crush it today! #DailyMotivation","Crush it today!","https://yourdomain.com/assets/chieftoken-motivation.png","./scripts/voiceovers/voiceover13.mp3"
"Your feedback matters—what do you want to see next? #Feedback","Feedback wanted!","https://yourdomain.com/assets/chieftoken-feedback.png","./scripts/voiceovers/voiceover14.mp3"
"Sunday reflection—what are you grateful for? #Gratitude","Gratitude!","https://yourdomain.com/assets/chieftoken-gratitude.png","./scripts/voiceovers/voiceover15.mp3"
"Giveaway/special offer for my OnlyFans fam—details in bio! #Giveaway","Giveaway time!","https://yourdomain.com/assets/chieftoken-giveaway.png","./scripts/voiceovers/voiceover16.mp3"
"Thank you for an amazing month! Here’s what’s next—join me on OnlyFans for the full journey. #NextChapter","Next chapter!","https://yourdomain.com/assets/chieftoken-next.png","./scripts/voiceovers/voiceover17.mp3"
